City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,port-cartier,50.0334,-66.8654,-6.18,73,4,7.48,CA,1674610573
124,merauke,-8.4667,140.3333,29.06,71,100,1.15,ID,1674610573
125,vao,-22.6667,167.4833,26.37,82,11,3.38,NC,1674610574
126,san patricio,28.017,-97.5169,16.92,30,0,7.29,US,1674610574
127,alice springs,-23.7,133.8833,32.75,21,70,2.57,AU,1674610575
128,puerto escondido,15.85,-97.0667,26.46,73,0,0.0,MX,1674610575
129,pachino,36.7186,15.0907,11.52,81,99,3.23,IT,1674610576
130,aklavik,68.2191,-135.0107,-20.02,99,100,3.92,CA,1674610576
131,lusambo,-4.9667,23.45,19.53,98,100,1.03,CD,1674610576
132,kavieng,-2.5744,150.7967,28.52,70,94,3.34,PG,1674610577
133,tiksi,71.6872,128.8694,-37.29,99,55,3.71,RU,1674610578
134,itirucu,-13.5317,-40.1503,17.59,98,71,1.18,BR,1674610578
135,grafton,42.207,-71.6856,1.2,81,55,1.34,US,1674610579
136,mehamn,71.0357,27.8492,0.95,93,100,11.83,NO,1674610579
137,anchorage,61.2181,-149.9003,6.56,56,100,11.32,US,1674610579
138,kaeo,-35.1,173.7833,24.07,70,14,6.26,NZ,1674610580
139,catamarca,-28.4696,-65.7852,28.66,59,9,4.14,AR,1674610257
